,rpm_value,blade_60,blade_45,blade_30,blade_15,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value,alignment_0,alignment_45
2024-11-29 19:18:47.845000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-128.875,-11.875,-17.562,0,-0.002,0.001,-0.29,0.05,9.4,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
2024-11-29 19:18:48.845000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-129.688,-11.5,-16.875,0,-0.002,0.001,-0.29,0.05,9.4,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
2024-11-29 19:18:49.853000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-128.875,-12.875,-18,0,-0.002,0.001,-0.29,0.05,9.4,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
2024-11-29 19:18:50.864000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-128.875,-11.875,-17.562,0,-0.002,0.001,-0.29,0.05,9.4,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
2024-11-29 19:18:51.913000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-129.25,-11.875,-17.25,0,-0.002,0.001,-0.29,0.05,9.4,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
2024-11-29 19:18:52.885000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-129.25,-11.5,-16.875,0,-0.002,0.001,-0.29,0.05,9.4,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
2024-11-29 19:18:53.899000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-129,-11.5,-17.562,0,-0.002,0.001,-0.29,0.05,9.4,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
2024-11-29 19:18:54.900000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-129.25,-11.5,-17.25,0,-0.002,0.001,-0.29,0.05,9.4,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
2024-11-29 19:18:55.917000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-129.688,-12.562,-17.25,0,-0.002,0.001,-0.29,0.05,9.4,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
2024-11-29 19:18:56.921000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-129.25,-12.25,-17.25,0,-0.002,0.001,-0.29,0.05,9.4,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
