,rpm_value,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,weatherstation_speed,weatherstation_direction,weatherstation_humidity,weatherstation_pressure,weatherstation_altitude,low_fan,med_fan,high_fan
2025-04-10 17:49:15.400282+00:00,66.18379109066211,353.75,-3,-1.4375,23,-21.5625,-36.25,-62.0625,-0.03,-0.043333333,0.13111111111111112,-0.23,0.25,9.48,0.2,0.3,-0.46,-0.51,0.24,9.79,2.0675,5,0,2.8,0,65.82,1021,-49.62,0,1,0
2025-04-10 17:49:16.302198+00:00,66.52665816859283,353.0625,-2.6875,-1.0625,23,-12.375,-34.1875,-40.1875,0.034444444444444444,0.071111111,-0.141111111,-0.36,0.05,9.41,0.11,-0.14,-0.37,-0.49,0.2,9.79,2.0225,6.25,10,2.8,0,65.82,1021,-49.62,0,1,0
2025-04-10 17:49:17.177649+00:00,68.53465904680984,353.4375,-3.125,-1.25,23,-11,-20.75,-33.1875,-0.054444444,-0.067777778,0.17888888888888888,0.32,-0.31,9.41,0.83,-0.52,-0.37,-0.51,0.2,9.79,2.07125,3.75,10,2.8,0,65.82,1021,-50.12,0,1,0
2025-04-10 17:49:18.051881+00:00,68.63108312202434,353.0625,-3.0625,-1.25,23,-9,-8.25,-33.75,0.052222222222222225,0.058888888888888886,-0.102222222,-0.85,0.36,9.56,0.02,0.03,-0.27,-0.55,0.24,9.78,2.09125,5,30,2.8,0,65.89,1021.06,-50.12,0,1,0
2025-04-10 17:49:19.812951+00:00,68.07533406,353.125,-3,-1.25,23,-13.5625,6.5625,-49.875,-0.045555556,-0.045555556,0.035555555555555556,0.4,-0.17,9.38,0.91,-0.37,-0.4,-0.5,0.2,9.79,2.03125,3.75,10,2.8,0,65.89,1021.06,-50.12,0,1,0
2025-04-10 17:49:20.695495+00:00,67.98481663610849,353.375,-3.25,-1.375,23,-27.75,-6.5625,-73,0.02,-0.014444444,-0.027777778,-0.61,0.39,9.41,-0.05,0.14,-0.37,-0.55,0.24,9.78,2.11625,3.75,10,3,0,65.89,1021.06,-50.12,0,1,0
2025-04-10 17:49:21.581156+00:00,67.74589217328382,353.0625,-3.1875,-1.5625,23,-15,-36.6875,-49.75,-0.034444444,0.011111111111111112,0.021111111111111112,0.61,-0.42,9.49,1.17,-0.68,-0.29,-0.55,0.26,9.78,2.00375,6.25,10,3,0,65.89,1021.06,-50.12,0,1,0
2025-04-10 17:49:22.466906+00:00,67.73620967956829,353.3125,-3.625,-1.75,23,-6.5625,-22.1875,-31.6875,0.011111111111111112,-0.001111111,-0.021111111,-0.78,0.42,9.49,-0.45,0.32,-0.4,-0.63,0.31,9.78,2.05,6.25,30,2.9,0,65.89,1021.06,-50.12,0,1,0
2025-04-10 17:49:23.335643+00:00,69.06058993622705,352.625,-2.9375,-1.3125,23,-6.0625,-12.6875,-30.25,0.025555555555555557,0.03,-0.065555556,-0.38,-0.61,9.41,0.23,-0.59,-0.39,-0.52,0.23,9.78,1.9175,6.25,10,2.9,0,65.89,1021.06,-50.12,0,1,0
2025-04-10 17:49:24.250666+00:00,65.58059139,353.125,-3.125,-1.625,23,-6.25,-2.875,-33.5625,0.017777777777777778,0.006666667,-0.084444444,-0.84,0.45,9.4,-0.3,0.16,-0.37,-0.54,0.28,9.78,1.875,5,10,2.9,0,65.89,1021.06,-50.12,0,1,0
2025-04-10 17:49:26.073126+00:00,66.03437033507312,352.9375,-3.0625,-1.75,23,-13.5625,10.75,-49.5625,-0.068888889,-0.02,0.12777777777777777,0.16,0.17,9.41,0.61,-0.38,-0.34,-0.51,0.27,9.78,2.0725000000000002,5,10,2.9,0,65.89,1021.06,-50.12,0,1,0
2025-04-10 17:49:27.840413+00:00,68.46872593028309,353,-3.125,-1.6875,23,-25,-14.5,-70.1875,0.015555555555555555,-0.004444444,-0.073333333,-0.8,0.39,9.34,-0.32,0.29,-0.33,-0.54,0.3,9.78,1.97,5,10,2.9,0,65.89,1021.06,-50.12,0,1,0
2025-04-10 17:49:28.729772+00:00,67.46243914,352.4375,-2.6875,-1.625,23,-12.5625,-34.5,-42.25,-0.06,-0.01,-0.018888889,0.39,-0.49,9.49,0.76,-1.15,-0.45,-0.46,0.25,9.79,1.97875,7.5,10,2.9,0,65.89,1021.06,-50.12,0,1,0
2025-04-10 17:49:29.617221+00:00,67.61680141220852,353,-3,-1.6875,23,-4.375,-18.75,-28.6875,-0.016666667,-0.04,0.086666667,-0.71,0.54,9.52,-0.2,0.24,-0.25,-0.51,0.29,9.78,1.87375,6.25,10,2.9,0,65.89,1021.06,-50.12,0,1,0
2025-04-10 17:49:30.522008+00:00,66.31017124933601,352.5,-2.8125,-1.4375,23,-3.5,-10.5,-29,0.053333333,0.057777777777777775,-0.098888889,-0.51,-0.09,9.45,-0.01,-0.35,-0.33,-0.5,0.27,9.78,2.07375,6.25,10,2.9,0,65.89,1021.06,-50.12,0,1,0
2025-04-10 17:49:31.420997+00:00,66.74274002531712,353.0625,-3.3125,-1.75,23,-5,2.1875,-34.75,-0.02,0.002222222,-0.032222222,-0.89,0.24,9.46,-0.31,-0.05,-0.32,-0.57,0.3,9.78,2.07,5,10,3,0,65.89,1021.06,-50.12,0,1,0
2025-04-10 17:49:32.301909+00:00,68.10488431,352.625,-2.8125,-1.3125,23,-17.6875,7.1875,-63.6875,0.022222222222222223,0.036666667,-0.038888889,-0.37,-0.29,9.39,0.12,-0.53,-0.39,-0.49,0.23,9.79,2.0925000000000002,6.25,10,3,0,65.89,1021.06,-50.12,0,1,0
2025-04-10 17:49:33.189730+00:00,67.58255463091172,353,-3,-1.4375,23,-20,-20.6875,-68.25,-0.055555556,-0.058888889,0.10777777777777778,-0.69,0.65,9.29,0.4,-0.46,-0.37,-0.5,0.24,9.79,2.0100000000000002,3.75,10,3,0,65.89,1021.06,-50.12,0,1,0
2025-04-10 17:49:34.097827+00:00,66.07121122299544,352.4375,-2.8125,-1.4375,23,-8.5,-34.6875,-44.875,-0.012222222,0.033333333,-0.012222222,0.03,-0.27,9.47,0.52,-0.51,-0.31,-0.49,0.24,9.79,1.96125,5,10,3,0,65.89,1021.06,-50.12,0,1,0
2025-04-10 17:49:35.010696+00:00,65.72650416441404,352.6875,-3.0625,-1.5,23,-3.6875,-22.25,-33.5625,-0.001111111,-0.007777778,0.011111111111111112,-0.9,0.32,9.3,-0.37,0.06,-0.48,-0.52,0.26,9.78,1.8725,3.75,10,3,0,65.89,1021.06,-50.12,0,1,0
2025-04-10 17:49:36.823249+00:00,67.15327469900093,352.3125,-2.875,-1.3125,23,-3,-10.875,-30.25,-0.028888889,-0.037777778,0.015555555555555555,0.61,-0.55,9.35,0.87,-1.06,-0.31,-0.48,0.22,9.79,2.09125,3.75,10,3,0,65.89,1021.06,-50.12,0,1,0
2025-04-10 17:49:37.731141+00:00,66.08255782198601,352.4375,-3,-1.4375,23,-0.6875,1.0625,-31.75,0.051111111111111114,0.04,-0.093333333,-0.67,0.78,9.52,-0.64,0.29,-0.51,-0.53,0.26,9.78,1.925,5,10,3,0,65.89,1021.06,-50.12,0,1,0
2025-04-10 17:49:38.630195+00:00,66.73808499658166,352.5,-2.9375,-1.5625,23,-7.5625,15.25,-49,-0.048888889,-0.038888889,0.095555556,0.43,0.1,9.45,0.93,-0.15,-0.33,-0.49,0.25,9.79,2.08,2.5,0,3,0,65.89,1021.06,-50.12,0,1,0
