,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value,alignment_0,alignment_1,alignment_2
2024-11-27 23:02:31.414000+00:00,36.17532521,15,15,15,315,-2,1,21.05,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.1325,0,0,45,4.8,1,1016.4,44.3,-11.72,0,1,0
2024-11-27 23:02:31.465000+00:00,36.38352665,15,15,15,315,-2,1,21.05,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.1325,0,0,45,4.8,1,1016.4,44.3,-11.72,0,1,0
2024-11-27 23:02:31.514000+00:00,36.49370684,15,15,15,315,-2,1,21.05,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.1325,0,0,45,4.8,1,1016.4,44.3,-11.72,0,1,0
2024-11-27 23:02:31.565000+00:00,36.60399383,15,15,15,315,-2,1,21.05,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.1325,0,0,45,4.8,1,1016.4,44.3,-11.72,0,1,0
2024-11-27 23:02:31.661000+00:00,36.83909019,15,15,15,315,-2,1,21.05,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.1325,0,0,45,4.8,1,1016.4,44.3,-11.72,0,1,0
2024-11-27 23:02:31.761000+00:00,36.96392271,15,15,15,315,-2,1,22,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.1325,0,0,45,4.8,1,1016.4,44.3,-11.72,0,1,0
2024-11-27 23:02:31.861000+00:00,36.96401784,15,15,15,315,-2,1,22,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.1325,0,0,45,4.8,1,1016.4,44.3,-11.72,0,1,0
2024-11-27 23:02:32.214000+00:00,36.96394168,15,15,15,315,-2,1,22,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.1325,0,0,45,4.8,1,1016.4,44.3,-11.72,0,1,0
2024-11-27 23:02:32.264000+00:00,36.9638725,15,15,15,315,-2,1,22,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.1325,0,0,45,4.8,1,1016.4,44.3,-11.72,0,1,0
2024-11-27 23:02:32.474000+00:00,36.96375757,15,15,15,315,-2,1,22,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.1325,0,0,45,4.8,1,1016.4,44.3,-11.72,0,1,0
2024-11-27 23:02:32.525000+00:00,36.83878196,15,15,15,315,-2,1,22,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.1325,1.25,0,45,4.8,1,1016.4,44.3,-11.72,0,1,0
2024-11-27 23:02:32.575000+00:00,36.72859889,15,15,15,315,-2,1,22,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.1325,1.25,0,45,4.8,1,1016.4,44.3,-11.72,0,1,0
2024-11-27 23:02:32.626000+00:00,36.72859889,15,15,15,315,-2,1,22,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.1325,1.25,0,45,4.8,1,1016.4,44.3,-11.72,0,1,0
2024-11-27 23:02:32.678000+00:00,36.72859889,15,15,15,315,-2,1,22,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.1325,1.25,0,45,4.8,1,1016.4,44.3,-11.72,0,1,0
2024-11-27 23:02:32.725000+00:00,36.72859889,15,15,15,315,-2,1,21.05,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.1325,1.25,0,45,4.8,1,1016.4,44.3,-11.72,0,1,0
2024-11-27 23:02:32.774000+00:00,36.72859889,15,15,15,315,-2,1,21.05,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.1325,1.25,0,45,4.8,1,1016.4,44.3,-11.72,0,1,0
2024-11-27 23:02:32.863000+00:00,36.72859889,15,15,15,315,-2,1,21.05,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.1325,1.25,0,45,4.8,1,1016.4,44.3,-11.72,0,1,0
2024-11-27 23:02:33.214000+00:00,36.72859889,15,15,15,315,-2,1,21.05,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.1325,1.25,0,45,4.8,1,1016.4,44.3,-11.72,0,1,0
2024-11-27 23:02:33.264000+00:00,36.72859889,15,15,15,315,-2,1,22,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.1325,1.25,0,45,4.8,1,1016.4,44.3,-11.72,0,1,0
2024-11-27 23:02:33.464000+00:00,36.72859889,15,15,15,315,-2,1,22,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.1325,1.25,0,45,4.8,1,1016.4,44.3,-11.72,0,1,0
2024-11-27 23:02:33.514000+00:00,36.72859889,15,15,15,315,-2,1,22,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.1325,1.25,0,45,4.8,1,1016.4,44.3,-11.72,0,1,0
2024-11-27 23:02:33.564000+00:00,36.72859889,15,15,15,315,-2,1,22,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.1325,1.25,0,45,4.8,1,1016.4,44.3,-11.72,0,1,0
2024-11-27 23:02:33.614000+00:00,36.72859889,15,15,15,315,-2,1,22,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.1325,1.25,0,45,4.8,1,1016.4,44.3,-11.72,0,1,0
2024-11-27 23:02:33.715000+00:00,36.72859889,15,15,15,315,-2,1,22,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.1325,1.25,0,45,4.8,1,1016.4,44.3,-11.72,0,1,0
2024-11-27 23:02:33.764000+00:00,36.72859889,15,15,15,315,-2,1,22,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.1325,1.25,0,45,4.8,1,1016.4,44.3,-11.72,0,1,0
2024-11-27 23:02:33.814000+00:00,36.72859889,15,15,15,315,-2,1,22,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.1325,1.25,0,45,4.8,1,1016.4,44.3,-11.72,0,1,0
2024-11-27 23:02:33.865000+00:00,36.72859889,15,15,15,315,-2,1,22,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.1325,1.25,0,45,4.8,1,1016.4,44.3,-11.72,0,1,0
2024-11-27 23:02:34.213000+00:00,36.72859889,15,15,15,315,-2,1,22,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.1325,1.25,0,45,4.8,1,1016.4,44.3,-11.72,0,1,0
2024-11-27 23:02:34.264000+00:00,36.72859889,15,15,15,315,-2,1,22,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.1325,0,0,45,4.8,1,1016.4,44.3,-11.72,0,1,0
2024-11-27 23:02:34.363000+00:00,36.72859889,15,15,15,315,-2,1,22,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.1325,0,0,45,4.8,1,1016.4,44.3,-11.72,0,1,0
2024-11-27 23:02:34.525000+00:00,36.72859889,15,15,15,315,-2,1,21.06,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.1325,0,0,45,4.8,1,1016.4,44.3,-11.72,0,1,0
