temperature_value,vibration_magnitude,temperature_warning,vibration_warning,shutdown_decision
22.0,9.4634137603721,False,True,True
22.0,9.4634137603721,False,True,True
22.0,9.4634137603721,False,True,True
22.0,9.4634137603721,False,True,True
22.0,9.4634137603721,False,True,True
22.0,9.4634137603721,False,True,True
22.0,9.4634137603721,False,True,True
22.0,9.4634137603721,False,True,True
22.0,9.4634137603721,False,True,True
22.0,9.4634137603721,False,True,True
22.0,9.405530288080518,False,True,True
22.0,9.405530288080518,False,True,True
22.0,9.405530288080518,False,True,True
22.0,9.405530288080518,False,True,True
22.0,9.405530288080518,False,True,True
22.0,9.405530288080518,False,True,True
22.0,9.405530288080518,False,True,True
22.0,9.405530288080518,False,True,True
22.0,9.405530288080518,False,True,True
22.0,9.405530288080518,False,True,True
22.0,9.405530288080518,False,True,True
22.0,9.341546981094726,False,True,True
22.0,9.341546981094726,False,True,True
22.0,9.341546981094726,False,True,True
22.0,9.341546981094726,False,True,True
22.0,9.341546981094726,False,True,True
22.0,9.341546981094726,False,True,True
22.0,9.341546981094726,False,True,True
22.0,9.341546981094726,False,True,True
22.0,9.341546981094726,False,True,True
22.0,9.341546981094726,False,True,True
22.0,9.341546981094726,False,True,True
22.0,9.495477871071051,False,True,True
22.0,9.495477871071051,False,True,True
22.0,9.495477871071051,False,True,True
22.0,9.495477871071051,False,True,True
22.0,9.495477871071051,False,True,True
22.0,9.495477871071051,False,True,True
22.0,9.495477871071051,False,True,True
22.0,9.495477871071051,False,True,True
22.0,9.495477871071051,False,True,True
22.0,9.495477871071051,False,True,True
22.0,9.495477871071051,False,True,True
22.0,9.495477871071051,False,True,True
22.0,9.481086435635952,False,True,True
22.0,9.481086435635952,False,True,True
22.0,9.481086435635952,False,True,True
22.0,9.481086435635952,False,True,True
22.0,9.481086435635952,False,True,True
22.0,9.481086435635952,False,True,True
22.0,9.481086435635952,False,True,True
22.0,9.481086435635952,False,True,True
22.0,9.481086435635952,False,True,True
22.0,9.481086435635952,False,True,True
22.0,9.481086435635952,False,True,True
22.0,9.39609493353489,False,True,True
22.0,9.39609493353489,False,True,True
22.0,9.39609493353489,False,True,True
22.0,9.39609493353489,False,True,True
22.0,9.39609493353489,False,True,True
22.0,9.39609493353489,False,True,True
22.0,9.39609493353489,False,True,True
22.0,9.39609493353489,False,True,True
22.0,9.39609493353489,False,True,True
22.0,9.39609493353489,False,True,True
22.0,9.39609493353489,False,True,True
22.0,9.424468154755472,False,True,True
22.0,9.424468154755472,False,True,True
22.0,9.424468154755472,False,True,True
22.0,9.424468154755472,False,True,True
22.0,9.424468154755472,False,True,True
22.0,9.424468154755472,False,True,True
22.0,9.424468154755472,False,True,True
22.0,9.424468154755472,False,True,True
22.0,9.424468154755472,False,True,True
22.0,9.424468154755472,False,True,True
22.0,9.424468154755472,False,True,True
22.0,9.409431438721471,False,True,True
22.0,9.409431438721471,False,True,True
22.0,9.409431438721471,False,True,True
22.0,9.409431438721471,False,True,True
22.0,9.409431438721471,False,True,True
